data,data,nome_da_musica,msPlayed,minutos,horas
2021-01-02,01/02/2021,Starman   2012   (David Bowie),254293,4.238216666666666,0.07063694444444443
2021-01-02,01/02/2021,T.N.T. (AC/DC),14774,0.24623333333333333,0.004103888888888889
2021-01-02,01/02/2021,Rebel Rebel   2016   (David Bowie),274746,4.5791,0.07631833333333334
2021-01-02,01/02/2021,Crazy Little Thing Called Love     2011 (Queen),1002,0.0167,0.00027833333333333334
2021-01-02,01/02/2021,The Power Of Love (Huey Lewis & The News),203750,3.3958333333333335,0.05659722222222222
2021-01-02,01/02/2021,Realize (AC/DC),1066,0.017766666666666667,0.0002961111111111111
2021-01-02,01/02/2021,Kashmir     (Led Zeppelin),28792,0.47986666666666666,0.007997777777777777
2021-01-02,01/02/2021,R U Mine? (Arctic Monkeys),201726,3.3621,0.056034999999999995
2021-01-02,01/02/2021,Fluorescent Adolescent (Arctic Monkeys),183893,3.0648833333333334,0.05108138888888889
2021-01-02,01/02/2021,Do I Wanna Know? (Arctic Monkeys),272394,4.5399,0.07566500000000001
2021-01-02,01/02/2021,Starman   2012   (David Bowie),8163,0.13605,0.0022675
2021-01-02,01/02/2021,Back In Time (Huey Lewis & The News),471548,7.859133333333333,0.13098555555555555
2021-01-02,01/02/2021,Shot In The Dark (AC/DC),185133,3.08555,0.05142583333333333
2021-01-02,01/02/2021,Fluorescent Adolescent (Arctic Monkeys),183893,3.0648833333333334,0.05108138888888889
2021-01-02,01/02/2021,Do I Wanna Know? (Arctic Monkeys),272394,4.5399,0.07566500000000001
2021-01-02,01/02/2021,Starman   2012   (David Bowie),254293,4.238216666666666,0.07063694444444443
2021-01-02,01/02/2021,Rebel Rebel   2016   (David Bowie),259536,4.3256,0.07209333333333333
2021-01-03,01/03/2021,War Pigs (Black Sabbath),2142,0.0357,0.000595
2021-01-03,01/03/2021,Fairies Wear Boots (Black Sabbath),64028,1.0671333333333333,0.017785555555555554
2021-01-04,01/04/2021,Why'd You Only Call Me When You're High? (Arctic Monkeys),3204,0.0534,0.0008900000000000001
2021-01-04,01/04/2021,Kashmir     (Led Zeppelin),12701,0.21168333333333333,0.0035280555555555555
2021-01-04,01/04/2021,Something     2009 (The Beatles),2159,0.03598333333333333,0.0005997222222222222
