data,artista_podcast,nome_da_musica,msPlayed,minutos,horas
01/01/2021,Inteligência Ltda.,016- IGOR GUIMARÃES,25983,0.43305,0.0072175
01/02/2021,David Bowie,Starman - 2012 Remaster,254293,4.238216666666666,0.07063694444444443
01/02/2021,AC/DC,T.N.T.,14774,0.24623333333333333,0.004103888888888889
01/02/2021,David Bowie,Rebel Rebel - 2016 Remaster,274746,4.5791,0.07631833333333334
01/02/2021,Queen,Crazy Little Thing Called Love - Remastered 2011,1002,0.0167,0.00027833333333333334
01/02/2021,Huey Lewis & The News,The Power Of Love,203750,3.3958333333333335,0.05659722222222222
01/02/2021,AC/DC,Realize,1066,0.017766666666666667,0.0002961111111111111
01/02/2021,Led Zeppelin,Kashmir - Remaster,28792,0.47986666666666666,0.007997777777777777
01/02/2021,Arctic Monkeys,R U Mine?,201726,3.3621,0.056034999999999995
01/02/2021,Arctic Monkeys,Fluorescent Adolescent,183893,3.0648833333333334,0.05108138888888889
01/02/2021,Arctic Monkeys,Do I Wanna Know?,272394,4.5399,0.07566500000000001
01/02/2021,David Bowie,Starman - 2012 Remaster,8163,0.13605,0.0022675
01/02/2021,Huey Lewis & The News,Back In Time,471548,7.859133333333333,0.13098555555555555
01/02/2021,AC/DC,Shot In The Dark,185133,3.08555,0.05142583333333333
01/02/2021,Arctic Monkeys,Fluorescent Adolescent,183893,3.0648833333333334,0.05108138888888889
01/02/2021,Arctic Monkeys,Do I Wanna Know?,272394,4.5399,0.07566500000000001
01/02/2021,David Bowie,Starman - 2012 Remaster,254293,4.238216666666666,0.07063694444444443
01/02/2021,David Bowie,Rebel Rebel - 2016 Remaster,259536,4.3256,0.07209333333333333
01/03/2021,Black Sabbath,War Pigs,2142,0.0357,0.000595
01/03/2021,Black Sabbath,Fairies Wear Boots,64028,1.0671333333333333,0.017785555555555554
01/04/2021,Inteligência Ltda.,016- IGOR GUIMARÃES,3254133,54.23555,0.9039258333333334
01/04/2021,NerdCast,NerdCast 758 - Mandalorian 2 e o Futuro de Star Wars,132841,2.2140166666666667,0.03690027777777778
01/04/2021,Inteligência Ltda.,003 - NIL AGRA,3484200,58.07,0.9678333333333333
01/04/2021,Inteligência Ltda.,003 - NIL AGRA,2189479,36.49131666666667,0.6081886111111111
01/04/2021,Inteligência Ltda.,023 - MÁRCIO DONATO,255453,4.25755,0.07095916666666667
01/04/2021,Arctic Monkeys,Why'd You Only Call Me When You're High?,3204,0.0534,0.0008900000000000001
01/04/2021,Led Zeppelin,Kashmir - Remaster,12701,0.21168333333333333,0.0035280555555555555
01/04/2021,The Beatles,Something - Remastered 2009,2159,0.03598333333333333,0.0005997222222222222
01/04/2021,The Beatles,Twist And Shout - Remastered 2009,1857,0.03095,0.0005158333333333333
01/04/2021,Queen,Crazy Little Thing Called Love - Remastered 2011,19295,0.32158333333333333,0.005359722222222222
01/04/2021,Queen,Somebody To Love - Remastered 2011,2577,0.04295,0.0007158333333333334
01/04/2021,AC/DC,Realize,719,0.011983333333333334,0.00019972222222222223
01/04/2021,The Rolling Stones,Rock And A Hard Place,2020,0.033666666666666664,0.0005611111111111111
01/04/2021,Led Zeppelin,Kashmir - Remaster,6335,0.10558333333333333,0.0017597222222222222
01/04/2021,Arctic Monkeys,R U Mine?,201726,3.3621,0.056034999999999995
01/04/2021,AC/DC,Shot In The Dark,3738,0.0623,0.0010383333333333334
01/04/2021,Black Sabbath,Loner,2414,0.040233333333333336,0.0006705555555555556
01/04/2021,Lynyrd Skynyrd,Sweet Home Alabama,283800,4.73,0.07883333333333334
01/04/2021,AC/DC,The Jack,352040,5.867333333333334,0.0977888888888889
01/04/2021,AC/DC,Black Ice,205106,3.418433333333333,0.056973888888888886
01/04/2021,Queen,Love Of My Life - Remastered 2011,217386,3.6231,0.060385
01/04/2021,Led Zeppelin,Misty Mountain Hop - Remaster,278907,4.64845,0.07747416666666668
01/04/2021,Aerosmith,You Gotta Move,100802,1.6800333333333333,0.028000555555555553
01/04/2021,Led Zeppelin,Babe I'm Gonna Leave You - Remaster,402920,6.715333333333334,0.11192222222222223
01/04/2021,The Rolling Stones,Miss You - Remastered,4760,0.07933333333333334,0.0013222222222222222
01/04/2021,Eric Clapton,"Running On Faith - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",390893,6.514883333333334,0.1085813888888889
01/04/2021,The Who,Who Are You,1578,0.0263,0.0004383333333333333
01/04/2021,Queen,Bohemian Rhapsody - Remastered 2011,5508,0.0918,0.0015300000000000001
01/04/2021,The Beatles,Ticket To Ride - Remastered 2009,2647,0.044116666666666665,0.0007352777777777777
01/04/2021,The Beatles,Let It Be - Remastered 2009,1648,0.027466666666666667,0.00045777777777777776
01/04/2021,The Beatles,Back In The U.S.S.R. - 2018 Mix,3459,0.05765,0.0009608333333333333
01/04/2021,AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),12770,0.21283333333333335,0.0035472222222222224
01/04/2021,AC/DC,Moneytalks,170643,2.84405,0.047400833333333336
01/04/2021,The Beatles,Roll Over Beethoven - Remastered 2009,4736,0.07893333333333333,0.0013155555555555555
01/04/2021,AC/DC,Shot Down in Flames,2623,0.04371666666666667,0.0007286111111111111
01/04/2021,Arctic Monkeys,Do I Wanna Know?,272394,4.5399,0.07566500000000001
01/04/2021,The Who,Behind Blue Eyes,38671,0.6445166666666666,0.010741944444444445
01/04/2021,AC/DC,Rock N Roll Train,5003,0.08338333333333334,0.0013897222222222223
01/05/2021,NerdCast,NerdTech 38 - Vingadores do Data Science,2233226,37.22043333333333,0.6203405555555556
01/05/2021,NerdCast,NerdCast 667 - Shazam nos quadrinhos,19971,0.33285,0.0055474999999999995
01/05/2021,Hipsters Ponto Tech,Tendências e o Fim do Front-end – Hipsters Ponto Tech #234,2056730,34.27883333333333,0.5713138888888889
01/05/2021,Pro Football | NFL,253: Recap Wk 17 | Mayfield exorciza seca dos Browns,19839,0.33065,0.005510833333333334
01/05/2021,Queen,Somebody To Love - Remastered 2011,10123,0.16871666666666665,0.002811944444444444
01/05/2021,The Beatles,Drive My Car - Remastered 2009,4411,0.07351666666666666,0.0012252777777777776
